keyword1,dimension1,keyword2,dimension2,co_occurrence_count
规定,法规合规,安全,隐私保护,5
服务,价格评价,优惠,价格评价,2
优惠,价格评价,服务,服务体验,6
事故,安全关注,合法,法规合规,4
安全,安全关注,监控,隐私保护,8
监控,隐私保护,安全,隐私保护,8
紧急,安全关注,事故,安全关注,2
安全,安全关注,司机,价格评价,3
司机,价格评价,安全,隐私保护,3
危险,安全关注,危险系数,价格评价,4
危险系数,价格评价,技术,技术可靠性,2
费用,价格评价,技术,技术可靠性,6
技术,技术可靠性,共享,隐私保护,5
危险,安全关注,危险性,价格评价,3
收费,价格评价,标准,法规合规,6
市场,价格评价,经济,价格评价,2
路况,安全关注,价格,价格评价,2
事故,安全关注,躲避,安全关注,2
紧急,安全关注,技术,技术可靠性,2
车辆,价格评价,合法,法规合规,2
危险,安全关注,感觉,价格评价,2
安全,安全关注,反应,技术可靠性,6
紧急,安全关注,反应,技术可靠性,2
反应,技术可靠性,安全,隐私保护,6
消费,价格评价,经济,价格评价,2
数量,价格评价,数据,隐私保护,2
司机,价格评价,态度,服务体验,5
安全,安全关注,交互,服务体验,2
交互,服务体验,安全,隐私保护,2
劳动力,价格评价,服务,服务体验,2
价格,价格评价,服务,服务体验,39
安全,安全关注,食品,价格评价,11
食品,价格评价,安全,隐私保护,11
危险,安全关注,数据,隐私保护,4
服务,服务体验,礼貌,服务体验,2
成本,价格评价,数据,隐私保护,5
人工成本,价格评价,成本,价格评价,2
数据,隐私保护,共享,隐私保护,3
礼貌,服务体验,数据,隐私保护,2
服务,服务体验,稳定,技术可靠性,2
速度,价格评价,准时,服务体验,2
节奏,价格评价,生活,价格评价,2
干净,价格评价,卫生,服务体验,2
安全,安全关注,车子,价格评价,5
事故,安全关注,车子,价格评价,4
车子,价格评价,安全,隐私保护,5
生活,价格评价,科技,价格评价,2
车辆,价格评价,车,价格评价,2
信号,价格评价,故障,技术可靠性,2
危险,安全关注,环境,舒适度,8
辨识度,价格评价,牌照,法规合规,2
安全,安全关注,配置,价格评价,2
安全,安全关注,接送,服务体验,5
配置,价格评价,接送,服务体验,2
配置,价格评价,安全,隐私保护,2
接送,服务体验,安全,隐私保护,5
识别,技术可靠性,牌照,法规合规,3
舒适,舒适度,便宜,价格评价,8
情绪,价格评价,稳定,技术可靠性,19
空间,舒适度,服务,价格评价,2
空间,舒适度,服务,服务体验,10
技术,技术可靠性,精准,技术可靠性,2
服务,服务体验,卫生,服务体验,2
事故,安全关注,技术,价格评价,4
安全,安全关注,服务,服务体验,15
价格,价格评价,接送,服务体验,2
服务,服务体验,安全,隐私保护,15
东西,价格评价,便宜,价格评价,4
服务,服务体验,错误,技术可靠性,2
空间,舒适度,价格,价格评价,3
公交,价格评价,便宜,价格评价,5
紧急,安全关注,危险,安全关注,2
收费,价格评价,便宜,价格评价,3
路况,安全关注,技术,技术可靠性,2
优惠,价格评价,规定,法规合规,2
安全,安全关注,打车,价格评价,4
打车,价格评价,安全,隐私保护,4
技术,技术可靠性,合法,法规合规,3
车费,价格评价,便宜,价格评价,6
科技,价格评价,便宜,价格评价,5
空间,舒适度,技术,技术可靠性,4
成本,价格评价,技术,技术可靠性,12
座椅,舒适度,空间,舒适度,2
服务,价格评价,便宜,价格评价,10
紧急,安全关注,等待,服务体验,2
安全,安全关注,环境,舒适度,8
安全,安全关注,经济,价格评价,10
环境,舒适度,经济,价格评价,3
环境,舒适度,安全,隐私保护,8
经济,价格评价,安全,隐私保护,10
费用,价格评价,服务,服务体验,7
贵,价格评价,技术,技术可靠性,5
事故,安全关注,路况,安全关注,2
服务,服务体验,标准,法规合规,3
长途,价格评价,划算,价格评价,2
车费,价格评价,贵,价格评价,3
费用,价格评价,成本,价格评价,6
安全,安全关注,牌照,法规合规,3
牌照,法规合规,安全,隐私保护,3
费用,价格评价,礼貌,服务体验,2
体验,价格评价,便宜,价格评价,3
速度,价格评价,便宜,价格评价,4
系统,技术可靠性,数据,隐私保护,5
价格,价格评价,等待,服务体验,2
贵,价格评价,等待,服务体验,2
温度,舒适度,服务,服务体验,5
优惠,价格评价,新鲜,服务体验,2
新鲜,服务体验,服务,服务体验,2
问题,价格评价,技术,技术可靠性,4
坐车,价格评价,便宜,价格评价,5
安全,安全关注,距离,价格评价,3
事故,安全关注,距离,价格评价,2
距离,价格评价,安全,隐私保护,3
萝卜,价格评价,价格,价格评价,2
安全,安全关注,萝卜,价格评价,2
萝卜,价格评价,安全,隐私保护,2
司机,价格评价,便宜,价格评价,3
危险,安全关注,反应,技术可靠性,2
便宜,价格评价,礼貌,服务体验,4
规定,法规合规,标准,法规合规,2
便宜,价格评价,态度,服务体验,6
风险,安全关注,技术,技术可靠性,6
生命,价格评价,贵,价格评价,2
安全,安全关注,导航,技术可靠性,3
刹车,安全关注,导航,技术可靠性,3
导航,技术可靠性,安全,隐私保护,3
危险,安全关注,态度,服务体验,2
刹车,安全关注,故障,技术可靠性,2
便宜,价格评价,故障,技术可靠性,2
技术,技术可靠性,规定,法规合规,3
科技,价格评价,经济,价格评价,4
出租车,价格评价,便宜,价格评价,13
卫生,服务体验,系统,技术可靠性,3
安全,安全关注,车速,价格评价,2
车速,价格评价,安全,隐私保护,2
价格,价格评价,数据,隐私保护,3
收费,价格评价,成本,价格评价,7
收费,价格评价,服务,服务体验,8
路况,安全关注,导航,技术可靠性,2
空调,舒适度,天气,价格评价,2
单车,价格评价,贵,价格评价,3
系统,技术可靠性,稳定,技术可靠性,3
紧急,安全关注,问题,价格评价,2
紧急,安全关注,礼貌,服务体验,2
紧急,安全关注,标准,法规合规,2
问题,价格评价,礼貌,服务体验,2
问题,价格评价,标准,法规合规,2
礼貌,服务体验,标准,法规合规,2
服务,价格评价,价格,价格评价,5
价格,价格评价,态度,服务体验,6
便宜,价格评价,政策,法规合规,5
路况,安全关注,系统,技术可靠性,2
科技,价格评价,入场,价格评价,2
科技,价格评价,服务,服务体验,9
成本,价格评价,要求,法规合规,3
要求,法规合规,数据,隐私保护,2
服务,服务体验,数据,隐私保护,6
收费,价格评价,数据,隐私保护,2
经济,价格评价,数据,隐私保护,3
事故,安全关注,科技,价格评价,4
劳动力,价格评价,经济,价格评价,2
安全,安全关注,政策,法规合规,2
政策,法规合规,安全,隐私保护,2
技术,价格评价,错误,技术可靠性,2
技术,技术可靠性,错误,技术可靠性,6
价格,价格评价,技术,技术可靠性,12
发展,价格评价,经济,价格评价,2
发展,价格评价,成本,价格评价,2
技术,技术可靠性,标准,法规合规,2
环境,舒适度,技术,技术可靠性,6
经济,价格评价,技术,技术可靠性,5
服务,服务体验,共享,隐私保护,7
科技,价格评价,技术,技术可靠性,6
出租车,价格评价,价格,价格评价,4
安全,安全关注,汽车,价格评价,3
汽车,价格评价,安全,隐私保护,3
事故,安全关注,风险,安全关注,4
错误,技术可靠性,精准,技术可靠性,2
环境,舒适度,服务,服务体验,5
风险,安全关注,危险,安全关注,2
价格,价格评价,要求,法规合规,4
舒适,舒适度,质量,价格评价,2
舒适,舒适度,价格,价格评价,3
舒适,舒适度,服务,服务体验,2
面料,价格评价,质量,价格评价,2
质量,价格评价,价格,价格评价,2
质量,价格评价,便宜,价格评价,2
质量,价格评价,服务,服务体验,2
质量,价格评价,态度,服务体验,2
质量,价格评价,标准,法规合规,2
价格,价格评价,标准,法规合规,2
风险,价格评价,成本,价格评价,2
技术,技术可靠性,摄像头,隐私保护,2
安全,安全关注,效率,价格评价,3
效率,价格评价,安全,隐私保护,3
温度,舒适度,系统,技术可靠性,3
事故,安全关注,发展,价格评价,3
识别,技术可靠性,摄像头,隐私保护,4
数据,隐私保护,摄像头,隐私保护,5
精准,技术可靠性,识别,技术可靠性,2
紧急,安全关注,成本,价格评价,3
事故,安全关注,基数,价格评价,2
事故,安全关注,规模,价格评价,2
基数,价格评价,规模,价格评价,2
技术,价格评价,态度,服务体验,2
技术,技术可靠性,稳定,技术可靠性,4
安全,安全关注,保密,隐私保护,2
保密,隐私保护,安全,隐私保护,2
服务,服务体验,系统,技术可靠性,2
经济,价格评价,系统,技术可靠性,2
安全,安全关注,平稳,舒适度,2
平稳,舒适度,安全,隐私保护,2
导航,技术可靠性,识别,技术可靠性,2
空调,舒适度,科技,价格评价,2
房子,价格评价,经济,价格评价,2
运营,价格评价,成本,价格评价,2
事故,安全关注,生活,价格评价,2
费用,价格评价,收费,价格评价,4
事故,安全关注,便宜,价格评价,4
技术,价格评价,成本,价格评价,2
生活,价格评价,技术,技术可靠性,2
危险,安全关注,贵,价格评价,3
安全,安全关注,颜值,价格评价,2
颜值,价格评价,安全,隐私保护,2
司机,价格评价,成本,价格评价,2
事故,安全关注,稳定,技术可靠性,2
服务,价格评价,收费,价格评价,3
出租,价格评价,贵,价格评价,9
风险,安全关注,技术,价格评价,2
隐私,隐私保护,数据,隐私保护,4
事故,安全关注,危险,安全关注,3
车,价格评价,便宜,价格评价,2
空间,舒适度,技术,价格评价,3
危险,安全关注,导航,技术可靠性,2
安全,安全关注,优惠,价格评价,7
优惠,价格评价,便宜,价格评价,5
优惠,价格评价,安全,隐私保护,7
原形,价格评价,贵,价格评价,2
原形,价格评价,便宜,价格评价,2
安全,价格评价,便宜,价格评价,2
出租,价格评价,优惠,价格评价,6
危险,安全关注,空间,舒适度,5
约车,价格评价,优惠,价格评价,2
活动,价格评价,便宜,价格评价,2
上路,价格评价,合法,法规合规,2
法规,法规合规,要求,法规合规,2
车子,价格评价,故障,技术可靠性,3
危险,安全关注,价格,价格评价,2
萝卜,价格评价,贵,价格评价,13
优惠,价格评价,贵,价格评价,3
司机,价格评价,服务,服务体验,3
价格,价格评价,规定,法规合规,2
萝卜,价格评价,划算,价格评价,2
安全,安全关注,舒适,舒适度,3
舒适,舒适度,安全,隐私保护,3
出租,价格评价,便宜,价格评价,2
公交,价格评价,贵,价格评价,2
萝卜,价格评价,优惠,价格评价,6
价格,价格评价,收费,价格评价,2
摄像头,隐私保护,个人信息,隐私保护,2
事故,安全关注,速度,价格评价,2
收费,价格评价,态度,服务体验,5
贵,价格评价,标准,法规合规,2
优惠,价格评价,标准,法规合规,2
成本,价格评价,故障,技术可靠性,2
安全,安全关注,感觉,价格评价,2
感觉,价格评价,安全,隐私保护,2
驾驶,价格评价,贵,价格评价,6
空间,舒适度,科技,价格评价,3
事故,安全关注,服务,服务体验,5
经济,价格评价,稳定,技术可靠性,4
经济条件,价格评价,经济,价格评价,2
成本,价格评价,便宜,价格评价,2
安全,安全关注,生活,价格评价,3
生活,价格评价,安全,隐私保护,3
驾驶,价格评价,服务,服务体验,2
驾驶,价格评价,共享,隐私保护,2
紧急,安全关注,经济,价格评价,2
成本,价格评价,共享,隐私保护,2
司机,价格评价,费用,价格评价,2
空调,舒适度,服务,价格评价,2
技术,价格评价,系统,技术可靠性,2
车子,价格评价,便宜,价格评价,2
领域,价格评价,服务,服务体验,2
领域,价格评价,技术,技术可靠性,2
优惠,价格评价,政策,法规合规,2
事故,安全关注,收费,价格评价,2
礼貌,服务体验,稳定,技术可靠性,2
